4.6711e-05	        0 -0.785398        -0  -2.18166        -0   1.39626        -0	    0.286731 -4.90113e-12     0.662709
0.00105442	        0 -0.785398        -0  -2.18166        -0   1.39626        -0	    0.286731 -4.90113e-12     0.662709
0.00207659	    1e-06 -0.785403   3.3e-05  -2.18171   4.7e-05   1.39631   3.2e-05	   0.286736 2.00175e-05    0.662693
0.00307611	    4e-06 -0.785416  0.000132  -2.18185  0.000188   1.39644   0.00013	   0.286751 8.00653e-05    0.662645
0.00407301	    9e-06 -0.785438  0.000296  -2.18208  0.000423   1.39665  0.000291	   0.286777 0.000179693    0.662564
0.00505892	  1.5e-05 -0.785468  0.000523  -2.18241  0.000748   1.39695  0.000515	   0.286812 0.000317266    0.662451
0.00607158	  2.4e-05 -0.785506  0.000813  -2.18283  0.001161   1.39733  0.000799	   0.286857 0.000493099    0.662308
0.00708551	  3.4e-05 -0.785552  0.001162  -2.18333   0.00166   1.39779  0.001142	   0.286912 0.000704609    0.662135
0.00807817	  4.6e-05 -0.785606  0.001571  -2.18391  0.002244   1.39834  0.001542	   0.286976 0.000952362    0.661934
0.00905344	    6e-05 -0.785667  0.002037  -2.18458  0.002909   1.39896  0.001997	  0.287049 0.00123455   0.661704
0.0100715	  7.6e-05 -0.785734  0.002559  -2.18533  0.003655   1.39966  0.002507	  0.287131 0.00155067   0.661446
0.0110529	  9.3e-05 -0.785808  0.003135  -2.18615  0.004477   1.40043  0.003068	  0.287222 0.00189894   0.661161
0.0120715	 0.000113 -0.785888  0.003764  -2.18705  0.005376   1.40128   0.00368	  0.287321 0.00227955   0.660851
0.0130532	 0.000134 -0.785974  0.004445  -2.18803  0.006348    1.4022  0.004341	  0.287428 0.00269096   0.660514
0.0140834	 0.000157 -0.786065  0.005177  -2.18908  0.007392    1.4032  0.005049	  0.287543 0.00313283   0.660153
0.0150734	 0.000182 -0.786161  0.005957  -2.19019  0.008506   1.40427  0.005802	  0.287667 0.00360357   0.659767
0.0160724	 0.000208 -0.786262  0.006786  -2.19138  0.009687   1.40541    0.0066	  0.287797 0.00410289   0.659359
0.0170531	 0.000237 -0.786367  0.007661  -2.19263  0.010935   1.40661  0.007439	  0.287936 0.00462998   0.658927
0.0180794	 0.000268 -0.786477  0.008581  -2.19394  0.012247   1.40789  0.008319	 0.288081 0.0051837  0.658473
0.0190842	   0.0003 -0.786589  0.009546  -2.19531  0.013622   1.40924  0.009238	  0.288234 0.00576355   0.657998
0.0200839	 0.000335 -0.786705  0.010553  -2.19675  0.015057   1.41065  0.010195	  0.288393 0.00636838   0.657502
0.0210549	 0.000371 -0.786824  0.011602  -2.19824  0.016552   1.41212  0.011188	  0.288559 0.00699753   0.656985
0.022081	  0.00041 -0.786946  0.012692  -2.19979  0.018104   1.41367  0.012215	 0.288731 0.0076507  0.656449
0.0230786	  0.00045 -0.787069  0.013822  -2.20139  0.019712   1.41527  0.013275	  0.288909 0.00832667   0.655893
0.0240895	 0.000493 -0.787194   0.01499  -2.20305  0.021374   1.41694  0.014367	  0.289094 0.00902485   0.655319
0.0250557	 0.000538 -0.787321  0.016196  -2.20475  0.023088   1.41868  0.015488	  0.289284 0.00974461   0.654727
0.0260727	 0.000585 -0.787448  0.017438  -2.20651  0.024854   1.42047  0.016639	 0.28948 0.010485 0.654117
0.027083	 0.000634 -0.787577  0.018715  -2.20831  0.026669   1.42233  0.017816	 0.289681 0.0112452   0.65349
0.0280727	 0.000685 -0.787705  0.020027  -2.21015  0.028532   1.42425  0.019019	 0.289888 0.0120249  0.652847
0.0290531	 0.000738 -0.787834  0.021373  -2.21205  0.030442   1.42622  0.020247	   0.2901 0.0128235  0.652188
0.0300726	 0.000794 -0.787962  0.022751  -2.21398  0.032397   1.42826  0.021497	 0.290317 0.0136401  0.651514
0.0310728	0.000852 -0.78809  0.02416 -2.21595 0.034396  1.43035  0.02277	 0.290538 0.0144739  0.650825
0.0320763	 0.000912 -0.788216  0.025601  -2.21797  0.036437    1.4325  0.024063	 0.290764 0.0153248  0.650121
0.033053	 0.000974 -0.788341  0.027071  -2.22002  0.038519   1.43471  0.025375	 0.290995 0.0161915  0.649404
0.0340536	 0.001039 -0.788465   0.02857   -2.2221  0.040641   1.43698  0.026704	 0.29123 0.017074 0.648673
0.0350816	 0.001105 -0.788586  0.030097  -2.22422    0.0428    1.4393  0.028051	 0.291469 0.0179708   0.64793
0.036071	 0.001174 -0.788705   0.03165  -2.22637  0.044996   1.44167  0.029412	 0.291712 0.0188816  0.647174
0.0370759	 0.001246 -0.788821   0.03323  -2.22856  0.047228    1.4441  0.030788	 0.291959 0.0198066  0.646406
0.0380709	 0.001319 -0.788935  0.034836  -2.23077  0.049494   1.44658  0.032177	 0.292209 0.0207446  0.645626
0.0390628	 0.001395 -0.789045  0.036467  -2.23302  0.051793   1.44912  0.033578	 0.292463 0.0216954  0.644836
0.040086	 0.001474 -0.789151  0.038121  -2.23529  0.054125    1.4517   0.03499	 0.292721 0.0226581  0.644034
0.0410555	 0.001554 -0.789254  0.039799  -2.23759  0.056488   1.45434  0.036412	 0.292981 0.0236323  0.643223
0.0420819	 0.001637 -0.789353    0.0415  -2.23991   0.05888   1.45703  0.037842	 0.293245 0.0246177  0.642402
0.043072	 0.001722 -0.789447  0.043222  -2.24226  0.061301   1.45977   0.03928	 0.293512 0.0256133  0.641571
0.0440714	 0.001809 -0.789537  0.044965  -2.24462  0.063749   1.46256  0.040725	 0.293782 0.0266186  0.640731
0.045053	 0.001899 -0.789621  0.046729  -2.24701  0.066224    1.4654  0.042176	0.294055 0.027634 0.639882
0.0460718	 0.001991 -0.789701  0.048512  -2.24942  0.068724   1.46829  0.043631	 0.294331 0.0286579  0.639026
0.0470865	 0.002085 -0.789775  0.050315  -2.25185  0.071249   1.47123  0.045091	 0.294609 0.0296907  0.638161
0.0480713	 0.002181 -0.789843  0.052136   -2.2543  0.073797   1.47422  0.046553	  0.29489 0.0307313  0.637289
0.0490532	  0.00228 -0.789906  0.053974  -2.25676  0.076367   1.47725  0.048017	 0.295173 0.0317794   0.63641
0.0500719	  0.00238 -0.789962   0.05583  -2.25924  0.078958   1.48032  0.049483	 0.295458 0.0328346  0.635523
0.0510573	 0.002483 -0.790012  0.057702  -2.26173   0.08157   1.48345  0.050948	 0.295746 0.0338966  0.634631
0.0520742	 0.002588 -0.790055   0.05959  -2.26424  0.084201   1.48662  0.052414	 0.296035 0.0349648  0.633732
0.0530536	 0.002695 -0.790092  0.061493  -2.26676   0.08685   1.48983  0.053878	 0.296327 0.0360387  0.632828
0.054071	 0.002804 -0.790122  0.063411  -2.26928  0.089517   1.49309  0.055339	  0.29662 0.0371182  0.631918
0.0550546	 0.002915 -0.790145  0.065343  -2.27183    0.0922   1.49639  0.056799	 0.296916 0.0382025  0.631003
0.0560533	0.003028 -0.79016 0.067289 -2.27438 0.094899  1.49973 0.058254	 0.297213 0.0392917  0.630084
0.0570543	 0.003143 -0.790168  0.069247  -2.27693  0.097612   1.50312  0.059706	 0.297512 0.0403846  0.629159
0.0580968	 0.003259 -0.790168  0.071218   -2.2795   0.10034   1.50654  0.061152	 0.297812 0.0414814  0.628231
0.0590759	0.003378 -0.79016 0.073201 -2.28207 0.103081  1.51001 0.062593	0.298114 0.042582 0.627299
0.0600558	 0.003498 -0.790144  0.075195  -2.28465  0.105834   1.51352  0.064028	 0.298418 0.0436853  0.626363
0.0610537	 0.00362 -0.79012   0.0772 -2.28723 0.108599  1.51707 0.065455	 0.298723 0.0447915  0.625423
0.0620536	 0.003744 -0.790088  0.079215  -2.28982  0.111374   1.52066  0.066876	0.299029   0.0459 0.624481
0.0630739	  0.00387 -0.790048   0.08124  -2.29242  0.114159   1.52428  0.068288	 0.299336 0.0470106  0.623536
0.0640718	 0.003997 -0.789999  0.083275  -2.29501  0.116953   1.52795  0.069692	 0.299645 0.0481231  0.622589
0.0650529	 0.004125 -0.789941  0.085318  -2.29761  0.119756   1.53165  0.071087	 0.299955 0.0492364  0.621639
0.066083	 0.004255 -0.789874   0.08737   -2.3002  0.122567   1.53539  0.072472	 0.300266 0.0503512  0.620688
0.0670734	 0.004387 -0.789799   0.08943   -2.3028  0.125384   1.53916  0.073847	 0.300577 0.0514668  0.619735
0.0680802	  0.00452 -0.789714  0.091497   -2.3054  0.128208   1.54297  0.075212	  0.30089 0.0525826   0.61878
0.0690819	0.004654 -0.78962 0.093572   -2.308 0.131038  1.54682 0.076565	 0.301204 0.0536989  0.617824
0.0700722	 0.004789 -0.789517  0.095653  -2.31059  0.133872    1.5507  0.077907	 0.301519 0.0548146  0.616867
