5.4243e-05	        0 -0.785398        -0  -2.18166        -0   1.39626        -0	    0.286731 -4.90113e-12     0.662709
0.00107789	        0 -0.785404   1.6e-05   -2.1817   2.4e-05   1.39628   1.6e-05	   0.286732 9.70432e-06    0.662693
0.00207614	    2e-06 -0.785422   6.5e-05  -2.18183   9.2e-05   1.39631   6.3e-05	   0.286736 3.93694e-05    0.662645
0.00309281	   5e-06 -0.78545 0.000144 -2.18203 0.000203  1.39637 0.000137	   0.286742 8.72807e-05    0.662566
0.00407733	    9e-06 -0.785488  0.000253  -2.18231  0.000353   1.39644  0.000236	    0.28675 0.000152973    0.662459
0.00507151	  1.5e-05 -0.785534  0.000389  -2.18266  0.000539   1.39653  0.000356	    0.28676 0.000235073    0.662322
0.00608314	  2.3e-05 -0.785587  0.000551  -2.18307  0.000758   1.39662  0.000495	   0.286771 0.000332788    0.662159
0.00710151	  3.3e-05 -0.785646  0.000739  -2.18354  0.001007   1.39672  0.000651	   0.286784 0.000445759     0.66197
0.00807727	  4.6e-05 -0.785711  0.000951  -2.18408  0.001285   1.39682  0.000821	  0.286798 0.00057327   0.661756
0.00907733	 6.1e-05 -0.78578 0.001185 -2.18467 0.001589  1.39693 0.001004	   0.286814 0.000713803    0.661518
0.0100539	  7.8e-05 -0.785853  0.001442  -2.18531  0.001917   1.39704  0.001198	    0.28683 0.000867544    0.661257
0.0110997	  7.8e-05 -0.785853  0.001442  -2.18531  0.001917   1.39704  0.001198	    0.28683 0.000867544    0.661257
0.0120713	 0.000122 -0.786007  0.002017  -2.18675  0.002638   1.39725  0.001613	  0.286867 0.00121143    0.66067
0.0130596	 0.000148 -0.786087  0.002335  -2.18754  0.003029   1.39735  0.001832	  0.286887 0.00140102   0.660345
0.0140647	 0.000178 -0.786168   0.00267  -2.18837  0.003437   1.39745  0.002056	  0.286907 0.00160089   0.660001
0.0150808	 0.000211 -0.786248  0.003023  -2.18924  0.003859   1.39754  0.002284	  0.286929 0.00181084   0.659638
0.0160791	 0.000248 -0.786328  0.003393  -2.19015  0.004296   1.39763  0.002516	  0.286952 0.00203079   0.659257
0.0170562	 0.000248 -0.786328  0.003393  -2.19015  0.004296   1.39763  0.002516	  0.286952 0.00203079   0.659257
0.0180756	 0.000332 -0.786484  0.004179  -2.19207  0.005207   1.39779  0.002985	   0.287 0.002497 0.658445
0.0190909	  0.00038 -0.786559  0.004594  -2.19308  0.005678   1.39786  0.003221	  0.287026 0.00274273   0.658015
0.0200753	 0.000432 -0.786631  0.005024  -2.19412  0.006159   1.39792  0.003458	  0.287053 0.00299694   0.657569
0.0210825	 0.000489 -0.786701  0.005466  -2.19519  0.006648   1.39798  0.003694	   0.28708 0.00325838    0.65711
0.0220717	 0.000549 -0.786766  0.005922  -2.19629  0.007145   1.39803   0.00393	  0.287109 0.00352731   0.656636
0.0230921	 0.000613 -0.786828   0.00639  -2.19741  0.007648   1.39807  0.004164	  0.287138 0.00380292   0.656149
0.0240535	 0.000682 -0.786885  0.006869  -2.19855  0.008157   1.39811  0.004396	  0.287168 0.00408504    0.65565
0.0250798	 0.000755 -0.786937   0.00736  -2.19972  0.008671   1.39813  0.004627	    0.2872 0.00437368   0.655138
0.0260571	 0.000755 -0.786937   0.00736  -2.19972  0.008671   1.39813  0.004627	    0.2872 0.00437368   0.655138
0.0270793	 0.000915 -0.787027  0.008374  -2.20211  0.009711   1.39817   0.00508	  0.287265 0.00496896    0.65408
0.0280774	 0.001002 -0.787063  0.008897  -2.20334  0.010237   1.39818  0.005303	    0.2873 0.00527556   0.653534
0.0290717	 0.001093 -0.787094  0.009429  -2.20458  0.010765   1.39818  0.005523	  0.287335 0.00558697   0.652978
0.0300813	 0.001189 -0.787118   0.00997  -2.20584  0.011295   1.39817  0.005739	  0.287371 0.00590348   0.652412
0.0310835	 0.001289 -0.787136   0.01052  -2.20711  0.011826   1.39816  0.005952	  0.287408 0.00622465   0.651837
0.032077	 0.001395 -0.787147  0.011079   -2.2084  0.012358   1.39814  0.006162	  0.287446 0.00655106   0.651253
0.0330552	 0.001395 -0.787147  0.011079   -2.2084  0.012358   1.39814  0.006162	  0.287446 0.00655106   0.651253
0.0340757	 0.001619 -0.787148  0.012219  -2.21102  0.013424   1.39808   0.00657	  0.287526 0.00721553   0.650059
0.0350903	 0.001738 -0.787138  0.012801  -2.21234  0.013957   1.39804  0.006768	  0.287567 0.00755416    0.64945
0.0360759	 0.001862 -0.787121   0.01339  -2.21368   0.01449     1.398  0.006963	  0.287609 0.00789672   0.648834
0.0370711	 0.001991 -0.787096  0.013986  -2.21502  0.015021   1.39795  0.007153	  0.287652 0.00824297   0.648211
0.0380709	 0.002125 -0.787063  0.014589  -2.21637  0.015551   1.39789   0.00734	0.287696 0.008593 0.647581
0.0390865	 0.002263 -0.787022  0.015197  -2.21773  0.016079   1.39783  0.007523	  0.287742 0.00894556   0.646945
0.0400773	 0.002406 -0.786973  0.015811   -2.2191  0.016605   1.39777  0.007701	  0.287788 0.00930134   0.646302
0.041078	 0.002554 -0.786916  0.016431  -2.22047  0.017129    1.3977  0.007876	  0.287835 0.00966034   0.645654
0.0420881	 0.002706 -0.786851  0.017057  -2.22185  0.017651   1.39762  0.008047	 0.287883 0.0100223  0.645001
0.0430572	 0.002706 -0.786851  0.017057  -2.22185  0.017651   1.39762  0.008047	 0.287883 0.0100223  0.645001
0.0440798	 0.003025 -0.786696  0.018323  -2.22462  0.018686   1.39746  0.008377	 0.287981 0.0107537  0.643678
0.0450768	 0.003025 -0.786696  0.018323  -2.22462  0.018686   1.39746  0.008377	 0.287981 0.0107537  0.643678
