3.763e-05	        0 -0.785398        -0  -2.18166        -0   1.39626        -0	    0.286731 -4.90113e-12     0.662709
0.00110464	        0 -0.785404   1.6e-05   -2.1817   2.4e-05   1.39628   1.6e-05	   0.286732 9.70432e-06    0.662693
0.00205316	    2e-06 -0.785423   6.6e-05  -2.18183   9.4e-05   1.39632   6.4e-05	   0.286736 4.00327e-05    0.662645
0.00311309	    4e-06 -0.785453  0.000146  -2.18204  0.000209   1.39638  0.000144	   0.286742 8.85478e-05    0.662565
0.00409973	    7e-06 -0.785494  0.000258  -2.18233  0.000369   1.39647  0.000254	   0.286752 0.000156398    0.662454
0.00509908	  1.2e-05 -0.785547    0.0004  -2.18269  0.000572   1.39658  0.000394	   0.286763 0.000242755    0.662315
0.00611234	 1.7e-05 -0.78561 0.000572 -2.18313 0.000817  1.39672 0.000562	   0.286777 0.000346915    0.662145
0.00707581	  2.3e-05 -0.785684  0.000773  -2.18365  0.001104   1.39688  0.000759	   0.286793 0.000468708    0.661947
0.00807501	  2.9e-05 -0.785769  0.001001  -2.18424  0.001431   1.39706  0.000983	   0.286811 0.000606725    0.661722
0.00905403	  3.7e-05 -0.785863  0.001257   -2.1849  0.001797   1.39727  0.001234	   0.286831 0.000761835     0.66147
0.0100708	  4.6e-05 -0.785967   0.00154  -2.18562  0.002201   1.39749   0.00151	   0.286853 0.000933172    0.661191
0.0110555	 5.5e-05 -0.78608  0.00185 -2.18642 0.002643  1.39774 0.001812	  0.286878 0.00112042   0.660886
0.0120568	  6.6e-05 -0.786202  0.002185  -2.18727  0.003122   1.39801  0.002139	  0.286904 0.00132313   0.660556
0.0130636	  7.7e-05 -0.786333  0.002545  -2.18819  0.003637    1.3983  0.002489	  0.286932 0.00154059   0.660202
0.0140559	  8.9e-05 -0.786472  0.002929  -2.18918  0.004186   1.39861  0.002862	  0.286961 0.00177238   0.659825
0.0150558	 0.000102 -0.786619  0.003336  -2.19022   0.00477   1.39895  0.003257	  0.286993 0.00201814   0.659424
0.0160842	 0.000116 -0.786774  0.003767  -2.19132  0.005386    1.3993  0.003674	  0.287026 0.00227793   0.659001
0.0171056	 0.000131 -0.786936   0.00422  -2.19248  0.006034   1.39967  0.004112	   0.28706 0.00255084   0.658556
0.0180752	 0.000147 -0.787105  0.004695  -2.19369  0.006714   1.40006  0.004569	  0.287096 0.00283684    0.65809
0.0190993	 0.000163 -0.787281  0.005191  -2.19495  0.007424   1.40046  0.005046	  0.287133 0.00313492   0.657604
0.0200725	 0.000181 -0.787463  0.005708  -2.19626  0.008164   1.40089  0.005542	  0.287171 0.00344562   0.657098
0.0211065	   0.0002 -0.787651  0.006245  -2.19762  0.008933   1.40133  0.006055	  0.287211 0.00376807   0.656572
0.0221105	  0.00022 -0.787845  0.006802  -2.19904  0.009731   1.40179  0.006587	  0.287252 0.00410222   0.656027
0.0231004	  0.00024 -0.788044  0.007378   -2.2005  0.010556   1.40227  0.007134	  0.287294 0.00444708   0.655464
0.0240761	 0.000262 -0.788249  0.007972    -2.202  0.011407   1.40277  0.007698	  0.287337 0.00480264   0.654884
0.0250974	 0.000285 -0.788458  0.008585  -2.20354  0.012285   1.40328  0.008278	  0.28738 0.0051691  0.654287
0.0260718	 0.000308 -0.788673  0.009216  -2.20513  0.013189   1.40382  0.008872	 0.287425 0.0055456  0.653672
0.0270561	 0.000333 -0.788891  0.009863  -2.20676  0.014117   1.40436  0.009481	  0.287471 0.00593158   0.653042
0.0280564	 0.000359 -0.789114  0.010527  -2.20843  0.015069   1.40493  0.010103	  0.287517 0.00632713   0.652396
0.0290793	0.000386 -0.78934 0.011208 -2.21014 0.016045  1.40551 0.010738	  0.287564 0.00673221   0.651735
0.0300599	0.000414 -0.78957 0.011904 -2.21188 0.017044  1.40611 0.011386	  0.287611 0.00714581    0.65106
0.0310567	 0.000443 -0.789803  0.012616  -2.21366  0.018065   1.40672  0.012046	  0.287659 0.00756819   0.650369
0.0320975	 0.000473 -0.790039  0.013343  -2.21547  0.019108   1.40735  0.012718	  0.287708 0.00799889   0.649665
