2.8696e-05	        0 -0.785398        -0  -2.18166        -0   1.39626        -0	    0.286731 -4.90113e-12     0.662709
0.00109941	    1e-06 -0.785398     1e-06  -2.18166     1e-06   1.39626   1.2e-05	   0.286731 8.36377e-07    0.662709
0.00207174	    5e-06 -0.785398     2e-06  -2.18166     4e-06   1.39626   4.7e-05	   0.286731 2.76047e-06    0.662709
0.00310345	    1e-05 -0.785398     5e-06  -2.18166     9e-06   1.39626  0.000105	  0.286731 6.0706e-06   0.662709
0.00407139	  1.9e-05 -0.785398     8e-06  -2.18166   1.5e-05   1.39626  0.000187	   0.286731 1.06414e-05    0.662709
0.00507597	  2.9e-05 -0.785398   1.3e-05  -2.18166   2.2e-05   1.39626  0.000292	   0.286731 1.64845e-05    0.662709
0.00607526	  4.1e-05 -0.785398   1.8e-05  -2.18166   3.1e-05   1.39626   0.00042	   0.286731 2.31286e-05    0.662709
0.00708385	  5.6e-05 -0.785398   2.5e-05  -2.18166   4.1e-05   1.39626  0.000571	   0.286731 3.16184e-05    0.662709
0.00807295	  7.2e-05 -0.785398   3.2e-05  -2.18166   5.1e-05   1.39626  0.000745	   0.286731 4.03949e-05    0.662709
0.00907756	  9.1e-05 -0.785398     4e-05  -2.18166   6.2e-05   1.39626  0.000942	   0.286731 5.05813e-05    0.662709
0.0100642	 0.000112 -0.785398   4.9e-05  -2.18166   7.4e-05   1.39626  0.001162	   0.286731 6.18908e-05    0.662709
0.0110816	 0.000134 -0.785398   5.9e-05  -2.18166   8.7e-05   1.39626  0.001405	   0.286731 7.40367e-05    0.662709
0.0120814	 0.000158 -0.785398     7e-05  -2.18166    0.0001   1.39626   0.00167	   0.286731 8.71919e-05    0.662709
0.0130954	 0.000185 -0.785398   8.2e-05  -2.18166  0.000113   1.39626  0.001957	   0.286731 0.000101643    0.662709
0.0140694	 0.000212 -0.785398   9.5e-05  -2.18166  0.000127   1.39626  0.002267	   0.286731 0.000116644    0.662709
0.0150729	 0.000242 -0.785398  0.000108  -2.18166  0.000141   1.39626  0.002599	   0.286731 0.000132505    0.662709
0.0160717	 0.000273 -0.785398  0.000122  -2.18166  0.000155   1.39626  0.002953	   0.286731 0.000149089    0.662709
0.0170701	 0.000306 -0.785398  0.000137  -2.18166   0.00017   1.39626   0.00333	   0.286731 0.000166796    0.662709
0.0180758	  0.00034 -0.785398  0.000153  -2.18166  0.000185   1.39626  0.003728	   0.286731 0.000185225    0.662709
0.019083	 0.000376 -0.785398   0.00017  -2.18166    0.0002   1.39626  0.004148	   0.286731 0.000204664    0.662709
0.0200755	 0.000413 -0.785398  0.000187  -2.18166  0.000215   1.39626   0.00459	  0.286731 0.00022439   0.662709
0.0210703	 0.000451 -0.785398  0.000206  -2.18166   0.00023   1.39626  0.005054	   0.286731 0.000245274    0.662709
0.0220706	 0.000491 -0.785398  0.000225  -2.18166  0.000245   1.39626  0.005539	   0.286731 0.000266731    0.662709
0.0230748	 0.000532 -0.785398  0.000244  -2.18166  0.000261   1.39626  0.006045	   0.286731 0.000288589    0.662709
0.0240752	 0.000574 -0.785398  0.000265  -2.18166  0.000276   1.39626  0.006573	   0.286731 0.000311492    0.662709
0.0250844	 0.000617 -0.785398  0.000286  -2.18166  0.000291   1.39626  0.007122	   0.286731 0.000334682     0.66271
0.0260551	 0.000661 -0.785398  0.000308  -2.18166  0.000306   1.39626  0.007691	   0.286731 0.000358594     0.66271
0.0270545	 0.000707 -0.785398  0.000331  -2.18166  0.000322   1.39626  0.008282	   0.286731 0.000383629     0.66271
0.0280563	 0.000753 -0.785398  0.000354  -2.18166  0.000337   1.39626  0.008893	    0.28673 0.000408551     0.66271
0.029054	 0.000801 -0.785398  0.000379  -2.18166  0.000352   1.39626  0.009524	    0.28673 0.000434917     0.66271
0.0300539	 0.000849 -0.785398  0.000403  -2.18166  0.000367   1.39626  0.010176	    0.28673 0.000460848     0.66271
0.0310669	 0.000898 -0.785398  0.000429  -2.18166  0.000382   1.39626  0.010848	    0.28673 0.000487938     0.66271
0.0320542	 0.000948 -0.785398  0.000455  -2.18166  0.000397   1.39626   0.01154	    0.28673 0.000515314     0.66271
0.0330541	 0.000998 -0.785398  0.000482  -2.18166  0.000412   1.39626  0.012251	    0.28673 0.000543126     0.66271
0.0340537	  0.00105 -0.785398  0.000509  -2.18166  0.000427   1.39626  0.012983	    0.28673 0.000571511     0.66271
0.0350536	 0.001102 -0.785398  0.000537  -2.18166  0.000441   1.39626  0.013734	    0.28673 0.000600218     0.66271
0.036131	 0.001154 -0.785398  0.000566  -2.18166  0.000456   1.39626  0.014504	    0.28673 0.000629476     0.66271
0.03713	 0.001208 -0.785398  0.000595  -2.18166   0.00047   1.39626  0.015293	    0.28673 0.000659192     0.66271
0.0380884	 0.001261 -0.785398  0.000625  -2.18166  0.000484   1.39626  0.016102	    0.28673 0.000689059     0.66271
0.0390776	 0.001316 -0.785398  0.000655  -2.18166  0.000498   1.39626  0.016928	    0.28673 0.000719498     0.66271
0.0400758	 0.001371 -0.785398  0.000686  -2.18166  0.000512   1.39626  0.017774	    0.28673 0.000750373     0.66271
0.041076	 0.001426 -0.785398  0.000717  -2.18166  0.000525   1.39626  0.018638	    0.28673 0.000781135     0.66271
0.0420843	 0.001481 -0.785398  0.000749  -2.18166  0.000539   1.39626   0.01952	    0.28673 0.000812446     0.66271
0.0430835	 0.001537 -0.785398  0.000781  -2.18166  0.000552   1.39626   0.02042	   0.28673 0.00084393    0.66271
0.0440798	 0.001594 -0.785398  0.000814  -2.18166  0.000565   1.39626  0.021338	    0.28673 0.000876137     0.66271
0.045082	  0.00165 -0.785398  0.000847  -2.18166  0.000578   1.39626  0.022273	   0.286729 0.000908057     0.66271
0.0460696	 0.001707 -0.785398  0.000881  -2.18166   0.00059   1.39626  0.023225	   0.286729 0.000940586     0.66271
0.0470893	 0.001764 -0.785398  0.000915  -2.18166  0.000603   1.39626  0.024195	   0.286729 0.000973229     0.66271
0.0480812	 0.001821 -0.785398  0.000949  -2.18166  0.000615   1.39626  0.025182	  0.286729 0.00100576    0.66271
0.0490756	 0.001878 -0.785398  0.000984  -2.18166  0.000627   1.39626  0.026185	  0.286729 0.00103872    0.66271
0.0500696	 0.001936 -0.785398  0.001019  -2.18166  0.000639   1.39626  0.027204	  0.286729 0.00107197    0.66271
0.0510968	 0.001993 -0.785398  0.001054  -2.18166   0.00065   1.39626   0.02824	  0.286729 0.00110482    0.66271
0.0520697	  0.00205 -0.785398   0.00109  -2.18166  0.000661   1.39626  0.029292	  0.286729 0.00113811    0.66271
0.0530696	 0.002108 -0.785398  0.001126  -2.18166  0.000672   1.39626  0.030359	  0.286729 0.00117169    0.66271
0.0541106	 0.002165 -0.785398  0.001162  -2.18166  0.000683   1.39626  0.031442	  0.286729 0.00120497    0.66271
0.0550545	 0.002223 -0.785398  0.001199  -2.18166  0.000694   1.39626   0.03254	  0.286728 0.00123898    0.66271
0.0560832	  0.00228 -0.785398  0.001235  -2.18166  0.000704   1.39626  0.033654	  0.286728 0.00127215   0.662709
0.0570769	 0.002337 -0.785398  0.001272  -2.18166  0.000714   1.39626  0.034782	  0.286728 0.00130576   0.662709
0.0580549	 0.002394 -0.785398  0.001309  -2.18166  0.000724   1.39626  0.035924	  0.286728 0.00133937   0.662709
0.0590538	 0.002451 -0.785398  0.001346  -2.18166  0.000733   1.39626  0.037081	  0.286728 0.00137287   0.662709
0.0600552	 0.002507 -0.785398  0.001384  -2.18166  0.000743   1.39626  0.038251	  0.286728 0.00140663   0.662709
0.0610557	 0.002564 -0.785398  0.001421  -2.18166  0.000752   1.39626  0.039436	  0.286728 0.00144012   0.662709
0.0620546	  0.00262 -0.785398  0.001459  -2.18166   0.00076   1.39626  0.040634	  0.286727 0.00147365   0.662709
0.0630558	 0.002676 -0.785398  0.001496  -2.18166  0.000769   1.39626  0.041845	  0.286727 0.00150686   0.662709
0.0641266	 0.002731 -0.785398  0.001534  -2.18166  0.000777   1.39626  0.043069	 0.286727 0.0015401  0.662709
0.0650537	 0.002786 -0.785398  0.001572  -2.18166  0.000785   1.39626  0.044305	  0.286727 0.00157335   0.662709
0.0661334	 0.002841 -0.785398  0.001609  -2.18166  0.000792   1.39626  0.045555	  0.286727 0.00160604   0.662709
0.0670537	 0.002895 -0.785398  0.001647  -2.18166    0.0008   1.39626  0.046816	0.286727 0.001639  0.66271
0.0680538	 0.002949 -0.785398  0.001685  -2.18166  0.000807   1.39626  0.048089	  0.286726 0.00167184    0.66271
0.0690537	 0.003002 -0.785398  0.001723  -2.18166  0.000814   1.39626  0.049374	 0.286726 0.0017044   0.66271
0.0700537	 0.003055 -0.785398   0.00176  -2.18166   0.00082   1.39626  0.050669	 0.286726 0.0017364   0.66271
0.0710547	 0.003107 -0.785398  0.001798  -2.18166  0.000826   1.39626  0.051976	  0.286726 0.00176856    0.66271
0.0720823	 0.003159 -0.785398  0.001835  -2.18166  0.000832   1.39626  0.053294	  0.286726 0.00180028    0.66271
0.0730737	  0.00321 -0.785398  0.001873  -2.18166  0.000838   1.39626  0.054622	  0.286726 0.00183215    0.66271
0.0741096	 0.003261 -0.785398   0.00191  -2.18166  0.000843   1.39626   0.05596	  0.286725 0.00186347    0.66271
0.0750786	 0.003311 -0.785398  0.001947  -2.18166  0.000849   1.39626  0.057309	  0.286725 0.00189462    0.66271
0.0760766	  0.00336 -0.785398  0.001984  -2.18166  0.000853   1.39626  0.058666	  0.286725 0.00192525    0.66271
0.0770775	 0.003409 -0.785397  0.002021  -2.18166  0.000858   1.39626  0.060033	0.286725 0.001956 0.662709
