3.2237e-05	        0 -0.785398        -0  -2.18166        -0   1.39626        -0	    0.286731 -4.90113e-12     0.662709
0.00110038	    1e-06 -0.785311   3.3e-05   -2.1816   4.7e-05   1.39606   3.2e-05	   0.286736 2.00182e-05    0.662693
0.0021103	    4e-06 -0.785052  0.000131  -2.18142  0.000187   1.39544  0.000129	   0.286751 7.95271e-05    0.662645
0.00308083	    8e-06 -0.784624  0.000293  -2.18113  0.000418   1.39442  0.000288	   0.286776 0.000177588    0.662565
0.00408562	  1.5e-05 -0.784028  0.000516  -2.18072  0.000737     1.393  0.000508	   0.286811 0.000313144    0.662455
0.00508246	  2.3e-05 -0.783268    0.0008   -2.1802  0.001142   1.39119  0.000788	  0.286855 0.00048542   0.662315
0.00607707	  3.2e-05 -0.782346  0.001142  -2.17956  0.001632     1.389  0.001126	   0.286908 0.000693024    0.662147
0.007079	  4.4e-05 -0.781265  0.001541  -2.17881  0.002202   1.38644   0.00152	   0.286969 0.000935561    0.661951
0.0081151	  5.6e-05 -0.780028  0.001996  -2.17795  0.002852    1.3835  0.001971	  0.287039 0.00121177   0.661727
0.00909132	    7e-05 -0.778637  0.002506  -2.17699   0.00358   1.38021  0.002475	  0.287117 0.00152162   0.661478
0.0100827	  8.5e-05 -0.777096  0.003067  -2.17592  0.004382   1.37657  0.003031	  0.287203 0.00186265   0.661204
0.011097	 0.000101 -0.775408   0.00368  -2.17475  0.005257   1.37258   0.00364	  0.287296 0.00223524   0.660905
0.012115	 0.000118 -0.773574  0.004342  -2.17347  0.006203   1.36826  0.004298	  0.287396 0.00263791   0.660583
0.0131053	 0.000136 -0.771599  0.005053   -2.1721  0.007218   1.36362  0.005005	  0.287503 0.00307046   0.660239
0.0141019	 0.000155 -0.769485   0.00581  -2.17062  0.008299   1.35866   0.00576	  0.287616 0.00353129   0.659873
0.0151022	 0.000175 -0.767235  0.006612  -2.16906  0.009444   1.35339  0.006562	  0.287735 0.00401979   0.659486
0.0161111	 0.000195 -0.764853  0.007459   -2.1674  0.010652   1.34783  0.007409	 0.287859 0.0045356   0.65908
0.0170998	 0.000216 -0.762342  0.008348  -2.16566  0.011921   1.34198    0.0083	 0.287988 0.0050775  0.658656
0.0181098	 0.000237 -0.759704  0.009279  -2.16383  0.013248   1.33586  0.009233	  0.288123 0.00564488   0.658213
0.0191013	 0.000258 -0.756943   0.01025  -2.16191  0.014631   1.32946  0.010209	  0.288262 0.00623669   0.657753
